"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 01 12:56:16 IST 2026","Wed Apr 01 12:56:38 IST 2026","22464","tests","test_checkout","TestCheckout","","","Verify the logo text present on the web page","This do login and go to shopping cart page and verify the at top middle Swag labs is present or not"
"passed","Wed Apr 01 13:24:23 IST 2026","Wed Apr 01 13:24:37 IST 2026","13557","tests","test_shopping_cart","TestShoppingCart","","","Verify the checkout button present on the web page for bike light product","This will chek checkout button"
"passed","Wed Apr 01 13:23:37 IST 2026","Wed Apr 01 13:23:57 IST 2026","19506","tests","test_shopping_cart","TestShoppingCart","","","Verify the checkout button present on the web page for backapack product","This will chek checkout button"
"passed","Wed Apr 01 13:08:54 IST 2026","Wed Apr 01 13:09:10 IST 2026","15331","tests","test_individual_product","TestProduct","","","Verify the page title","This do login and check product page title"
"passed","Wed Apr 01 13:03:40 IST 2026","Wed Apr 01 13:04:02 IST 2026","22327","tests","test_checkout_overview","TestCheckoutOverview","","","Verify the page text present on the web page","This do login and go to checkout overview and verify the Product text and left right corner"
"passed","Wed Apr 01 13:09:34 IST 2026","Wed Apr 01 13:09:50 IST 2026","15929","tests","test_individual_product","TestProduct","","","Verify the individual product page backpack product","This do login and go to products page and click on product go into ind product backpack page"
"passed","Wed Apr 01 13:19:09 IST 2026","Wed Apr 01 13:19:29 IST 2026","19911","tests","test_shopping_cart","TestShoppingCart","","","Verify the page title","To Check title of shopping cart page"
"passed","Wed Apr 01 13:18:56 IST 2026","Wed Apr 01 13:19:02 IST 2026","6844","tests","test_product","TestProduct","","","Verify logout functionality from sidebar menu","for checking the cancel button present or not on sidebar menu"
"passed","Wed Apr 01 13:14:25 IST 2026","Wed Apr 01 13:14:40 IST 2026","14921","tests","test_product","TestProduct","","","Verify if able to add backpack product","for adding the backpack product"
"passed","Wed Apr 01 12:59:35 IST 2026","Wed Apr 01 12:59:57 IST 2026","22478","tests","test_checkout_complete","TestCheckoutComplete","","","Verify the page title","To Check title of shopping cart page"
"passed","Wed Apr 01 13:15:05 IST 2026","Wed Apr 01 13:15:14 IST 2026","8937","tests","test_product","TestProduct","","","Verify if able to add back light product","for adding bike light product"
"passed","Wed Apr 01 13:02:20 IST 2026","Wed Apr 01 13:02:43 IST 2026","22453","tests","test_checkout_complete","TestCheckoutComplete","","","Verify the order complete text on the web page","This do login and go to checkout complete page and verify complete order is present or not"
"passed","Wed Apr 01 13:03:14 IST 2026","Wed Apr 01 13:03:36 IST 2026","22164","tests","test_checkout_overview","TestCheckoutOverview","","","Verify the page title","To Check title of checkout overview page"
"passed","Wed Apr 01 13:00:56 IST 2026","Wed Apr 01 13:01:20 IST 2026","23723","tests","test_checkout_complete","TestCheckoutComplete","","","Verify the logo text present on the web page","This do login and go to checkout complete and verify the at top middle Swag labs is present or not"
"passed","Wed Apr 01 13:24:02 IST 2026","Wed Apr 01 13:24:17 IST 2026","14615","tests","test_shopping_cart","TestShoppingCart","","","Verify the checkout button present on the web page for bike light product","This will chek checkout button"
"passed","Wed Apr 01 13:04:33 IST 2026","Wed Apr 01 13:04:55 IST 2026","22543","tests","test_checkout_overview","TestCheckoutOverview","","","Verify the logo text present on the web page","This do login and go to checkout overview page and verify the at top middle Swag labs is present or not"
"passed","Wed Apr 01 12:59:06 IST 2026","Wed Apr 01 12:59:30 IST 2026","23635","tests","test_checkout_complete","TestCheckoutComplete","","","Verify the page title","To Check title of shopping cart page"
"passed","Wed Apr 01 13:20:50 IST 2026","Wed Apr 01 13:21:11 IST 2026","20834","tests","test_shopping_cart","TestShoppingCart","","","Verify the logo text present on the web page","This do login and go to shopping cart page and verify the at top middle Swag labs is present or not"
"passed","Wed Apr 01 13:17:15 IST 2026","Wed Apr 01 13:17:22 IST 2026","6586","tests","test_product","TestProduct","","","Verify if sidebar menu is present","for checking the cancel button present or not on sidebar menu"
"passed","Wed Apr 01 13:08:14 IST 2026","Wed Apr 01 13:08:30 IST 2026","16253","tests","test_checkout_overview","TestCheckoutOverview","","","Verify the finish button present on the web page for back light","This do login and go to products page and verify the finish button"
"passed","Wed Apr 01 13:17:01 IST 2026","Wed Apr 01 13:17:09 IST 2026","7731","tests","test_product","TestProduct","","","Verify if sidebar menu is present","for checking the cancel button present or not on sidebar menu"
"passed","Wed Apr 01 13:12:04 IST 2026","Wed Apr 01 13:12:20 IST 2026","16009","tests","test_individual_product","TestProduct","","","Verify the price of backpack on individual product page",""
"passed","Wed Apr 01 12:55:21 IST 2026","Wed Apr 01 12:55:44 IST 2026","22645","tests","test_checkout","TestCheckout","","","Verify the text present on the web page","This do login and go to checkout page and verify the checkout text and left right corner"
"passed","Wed Apr 01 12:58:00 IST 2026","Wed Apr 01 12:58:22 IST 2026","21189","tests","test_checkout","TestCheckout","","","Verify continue button present on the web page","This do login and go to products page add address details and click continue"
"passed","Wed Apr 01 13:02:46 IST 2026","Wed Apr 01 13:03:09 IST 2026","22753","tests","test_checkout_overview","TestCheckoutOverview","","","Verify the page title","To Check title of checkout overview page"
"passed","Wed Apr 01 12:56:42 IST 2026","Wed Apr 01 12:57:04 IST 2026","22199","tests","test_checkout","TestCheckout","","","Verify if able to add address on the web page","This do login and go to products page and verify the at top middle Swag labs is present or not"
"passed","Wed Apr 01 13:19:59 IST 2026","Wed Apr 01 13:20:20 IST 2026","20221","tests","test_shopping_cart","TestShoppingCart","","","Verify the text present on the web page","This do login and go to products page and verify the Product text and left right corner"
"passed","Wed Apr 01 13:19:35 IST 2026","Wed Apr 01 13:19:54 IST 2026","18530","tests","test_shopping_cart","TestShoppingCart","","","Verify the page title","To Check title of shopping cart page"
"passed","Wed Apr 01 13:15:55 IST 2026","Wed Apr 01 13:16:12 IST 2026","17139","tests","test_product","TestProduct","","","Verify if able to add tshirt product","for adding bike tshirt product"
"passed","Wed Apr 01 13:01:52 IST 2026","Wed Apr 01 13:02:15 IST 2026","23481","tests","test_checkout_complete","TestCheckoutComplete","","","Verify the order complete text on the web page","This do login and go to checkout complete page and verify complete order is present or not"
